S.No,District,Govt,Pvt Aided,Pvt Unaided,Grand Total
1,Ariyalur,603,66,113,782
2,CHENNAI,327,358,799,1484
3,COIMBATORE,1199,183,626,2008
4,CUDDALORE,1429,282,486,2197
5,DHARMAPURI,1373,17,230,1620
6,DINDIGUL,1324,325,313,1962
7,ERODE,1271,125,335,1731
8,KANCHEEPURAM,1438,245,918,2601
9,KANNIYAKUMARI,515,290,426,1231
10,KARUR,819,60,175,1054
11,KRISHANAGIRI,1701,24,315,2040
12,MADURAI,1236,315,618,2169
13,NAGAPATTINAM,930,325,258,1513
14,NAMAKKAL,1002,88,283,1373
15,PERAMBALUR,355,59,108,522
16,PUDUKKOTTAI,1558,112,277,1947
17,RAMANATHAPURAM,1064,249,214,1527
18,SALEM,1746,121,562,2429
19,SIVAGANGA,1114,235,252,1601
20,THANJAVUR,1374,301,376,2051
21,THE NILGIRIS,419,132,174,725
22,THENI,533,237,161,931
23,THIRUVALLUR,1469,193,886,2548
24,THIRUVARUR,941,126,203,1270
25,THOOTHUKKUDI,711,862,263,1836
26,TIRUCHIRAPPALLI,1291,367,448,2106
27,TIRUNELVELI,928,1283,595,2806
28,TIRUVANNAMALAI,1994,178,350,2522
29,Tiruppur,1319,82,460,1861
30,VELLORE,2247,324,764,3335
31,VILUPPURAM,2141,330,500,2971
32,VIRUDHUNAGAR,987,492,242,1721
Total,State,37358,8386,12730,58474
